ID,CITY,COUNTRY,SUNRISE,SUNSET,DAYLIGHT_HOURS,TIMEZONE,RANK
3413829,Reykjavik,IS,21:19:58,17:31:34,20.19,0,1
658225,Helsinki,FI,22:06:24,16:30:26,18.4,10800,2
3143244,Oslo,NO,22:05:41,16:24:41,18.32,7200,3
2673730,Stockholm,SE,21:42:01,15:49:48,18.13,7200,4
524901,Moscow,RU,21:52:20,15:03:03,17.18,10800,5
2618425,Copenhagen,DK,22:32:59,15:42:49,17.16,7200,6
2964574,Dublin,IE,23:02:52,15:43:37,16.68,3600,7
2950159,Berlin,DE,22:48:48,15:20:15,16.52,7200,8
2759794,Amsterdam,NL,23:23:41,15:53:32,16.5,7200,9
756135,Warsaw,PL,22:20:01,14:48:13,16.47,7200,10
