City_ID,Cloudiness_Percentage,Wind_Direction_Degree,Gust_Speed,Wind_Speed
98182,0,320,,8.23
108410,100,156,1.96,2.24
112931,0,140,,6.17
184745,75,220,,4.63
264371,20,190,,3.09
292223,0,320,,7.2
293397,20,270,,4.63
360630,40,360,12.35,3.6
524901,3,297,6.25,4.56
658225,75,170,,6.17
745044,20,220,,4.12
756135,75,260,,5.66
1275339,40,240,10.29,5.14
1581130,99,27,2.38,1.63
1609350,71,248,8.79,6.51
1642911,40,340,,3.6
1668341,75,280,,4.63
1701668,40,270,,6.17
1735161,20,200,,3.6
1816670,4,318,9.46,6.68
1835848,0,280,,5.14
1850147,75,190,,6.17
1880252,75,150,,5.14
2063523,100,310,,3.6
2147714,100,235,1.34,0.45
2193733,75,220,,1.03
2332459,75,0,,1.03
2553604,75,0,,1.03
2618425,75,220,,6.69
2643743,20,320,,3.6
2657896,75,131,1.34,0.89
2673730,40,260,,6.69
2759794,20,280,,5.14
2761369,20,0,,1.54
2800866,75,250,,2.57
2950159,20,263,4.47,2.68
2964574,20,230,,5.66
2988507,40,310,,3.6
3054643,26,209,3.13,1.34
3067696,75,210,,3.6
3117735,0,100,,3.09
3143244,62,248,6.83,4.99
3169070,0,210,,4.12
3369157,40,357,3.13,2.24
3413829,75,10,12.35,7.2
3435910,0,320,0.0,4.92
3448433,2,140,10.43,4.29
3530597,100,40,,2.24
3871336,95,81,0.83,0.76
3936456,100,190,,1.54
4887398,0,200,,1.54
5128581,0,250,,2.06
5368361,40,230,,1.54
5856195,100,90,,3.6
6167865,0,260,,3.09
6173331,20,290,,5.14
