City_ID,Temp,Temp_Max,Temp_Min,Feels_Like,Humidity,Pressure,Sea_Level
98182,35.95,35.95,35.95,33.63,16,1009,1009
108410,39.27,39.27,39.27,35.82,6,1007,1007
112931,33.73,33.99,33.73,31.33,4,1011,1011
184745,19.93,21.62,19.93,19.75,68,1019,1019
264371,27.78,29.57,25.65,27.61,42,1019,1019
292223,35.96,36.14,35.96,42.96,56,1001,1001
293397,25.25,26.17,25.06,25.24,54,1019,1019
360630,25.42,25.42,25.23,25.17,44,1019,1019
524901,19.24,19.29,19.24,18.11,34,1015,1015
658225,12.54,13.54,11.65,11.94,80,1005,1005
745044,19.89,20.04,19.89,19.95,77,1020,1020
756135,23.37,24.39,21.88,23.36,61,1013,1013
1275339,30.99,30.99,30.94,37.57,70,1005,1005
1581130,39.0,39.0,39.0,44.76,38,996,996
1609350,33.96,34.95,32.75,40.96,67,1006,1006
1642911,32.37,33.05,30.72,38.61,62,1008,1008
1668341,33.08,33.93,30.04,40.08,71,998,998
1701668,30.83,31.17,30.63,37.83,76,1007,1007
1735161,35.11,35.14,34.73,42.11,62,1007,1007
1816670,28.94,28.94,28.94,27.35,17,1001,1001
1835848,20.76,22.78,20.76,20.8,73,1002,1002
1850147,22.76,23.14,22.01,22.92,70,1006,1006
1880252,32.88,33.95,32.72,36.92,53,1007,1007
2063523,18.01,18.93,17.22,18.24,91,1007,1007
2147714,14.02,15.2,12.97,13.7,85,1014,1014
2193733,11.66,12.51,10.44,10.71,70,1021,1021
2332459,26.13,26.13,26.13,26.13,94,1015,1015
2553604,20.19,21.12,20.18,19.94,64,1018,1018
2618425,16.93,17.86,15.94,16.51,70,1011,1011
2643743,16.91,17.79,15.83,16.12,56,1017,1017
2657896,18.95,19.87,17.96,19.04,82,1018,1018
2673730,16.36,17.25,15.7,15.49,55,1003,1003
2759794,16.56,17.72,15.47,16.07,69,1015,1015
2761369,24.53,26.0,23.08,24.79,67,1016,1016
2800866,16.52,17.66,15.85,16.19,75,1017,1017
2950159,19.69,21.1,18.93,19.39,64,1015,1015
2964574,13.72,14.38,11.99,12.98,70,1017,1017
2988507,17.45,20.03,16.75,16.9,63,1019,1019
3054643,27.51,28.24,26.55,27.92,50,1016,1016
3067696,19.4,21.83,18.25,19.59,84,1016,1016
3117735,22.89,24.25,21.59,22.54,50,1016,1016
3143244,14.75,14.75,14.75,14.06,68,1000,1000
3169070,26.04,26.55,24.85,26.04,44,1021,1021
3369157,14.22,15.77,13.84,13.92,85,1021,1021
3413829,5.81,5.81,5.5,1.49,75,993,993
3435910,7.77,8.85,6.63,4.83,85,1021,1021
3448433,15.75,15.75,15.75,15.76,91,1022,1022
3530597,15.53,16.73,15.53,15.28,82,1016,1016
3871336,13.39,13.39,12.87,12.14,52,1017,1017
3936456,16.06,16.06,15.14,16.07,90,1015,1015
4887398,12.25,12.87,10.68,10.84,50,1016,1016
5128581,12.05,12.81,9.65,11.24,74,1013,1013
5368361,16.15,18.22,14.6,16.09,87,1013,1013
5856195,24.48,25.17,23.49,25.1,81,1018,1018
6167865,7.4,8.44,6.4,5.33,68,1014,1014
6173331,11.44,12.58,10.57,10.73,80,1024,1024
