City_ID,Sunrise,Sunset,Timezone
98182,1748829228,1748880438,10800
108410,1748829840,1748878712,10800
112931,1748827180,1748879116,12600
184745,1748834964,1748878343,10800
264371,1748833450,1748886146,10800
292223,1748827710,1748876722,14400
293397,1748831722,1748882562,10800
360630,1748832854,1748883125,10800
524901,1748825540,1748887383,10800
658225,1748826384,1748892626,10800
745044,1748831646,1748885437,10800
756135,1748830801,1748890093,7200
1275339,1748824236,1748871774,19800
1581130,1748816089,1748864082,25200
1609350,1748818167,1748864560,25200
1642911,1748818639,1748861051,25200
1668341,1748811843,1748860796,28800
1701668,1748813165,1748859738,28800
1735161,1748818960,1748863206,28800
1816670,1748810871,1748864233,28800
1835848,1748808743,1748861282,32400
1850147,1748806000,1748857921,32400
1880252,1748818622,1748862505,28800
2063523,1748819357,1748856018,28800
2147714,1748811135,1748847259,36000
2193733,1748805926,1748841158,43200
2332459,1748842223,1748887127,3600
2553604,1748841673,1748892965,3600
2618425,1748831579,1748893369,7200
2643743,1748836099,1748894942,3600
2657896,1748835164,1748891713,7200
2673730,1748828521,1748893788,7200
2759794,1748834621,1748894012,7200
2761369,1748833074,1748890047,7200
2800866,1748835225,1748893668,7200
2950159,1748832528,1748892015,7200
2964574,1748836972,1748897017,3600
2988507,1748836268,1748893585,7200
3054643,1748832614,1748889226,7200
3067696,1748833032,1748891026,7200
3117735,1748839593,1748893165,7200
3143244,1748829941,1748895881,7200
3169070,1748835426,1748889562,7200
3369157,1748843024,1748879113,7200
3413829,1748834398,1748907094,0
3435910,1748861563,1748897442,-10800
3448433,1748857697,1748896806,-10800
3530597,1748865462,1748913105,-21600
3871336,1748864342,1748900554,-14400
3936456,1748863359,1748904599,-18000
4887398,1748859460,1748913597,-18000
5128581,1748856405,1748910102,-14400
5368361,1748868148,1748919596,-25200
5856195,1748792946,1748840996,-36000
6167865,1748857107,1748911997,-14400
6173331,1748866260,1748923824,-25200
