City_ID,Temp,Temp_Max,Temp_Min,Feels_Like,Humidity,Pressure,Sea_Level
98182,35.95,35.95,35.95,33.63,16,1009,1009
108410,39.27,39.27,39.27,35.82,6,1007,1007
112931,34.84,34.84,33.99,32.19,5,1009,1009
184745,19.93,20.62,19.93,19.75,68,1019,1019
264371,27.16,28.42,25.55,27.09,42,1020,1020
292223,35.96,36.14,35.96,42.96,56,1001,1001
293397,25.95,26.17,25.06,25.95,52,1019,1019
360630,25.42,25.42,25.23,25.17,44,1019,1019
524901,19.24,19.29,19.24,18.11,34,1015,1015
658225,13.11,15.24,12.09,12.46,76,1005,1005
745044,19.89,20.04,19.89,19.95,77,1020,1020
756135,23.63,24.98,21.88,23.67,62,1013,1013
1275339,30.99,30.99,30.94,37.57,70,1005,1005
1581130,39.0,39.0,39.0,44.76,38,996,996
1609350,34.51,35.51,32.94,41.51,67,1006,1006
1642911,32.37,33.05,30.5,38.61,62,1008,1008
1668341,33.45,34.93,30.04,40.45,71,999,999
1701668,30.88,31.73,30.63,37.88,76,1007,1007
1735161,35.11,35.43,34.73,42.11,62,1007,1007
1816670,28.94,28.94,28.94,27.33,15,1001,1001
1835848,20.76,22.78,20.76,20.8,73,1002,1002
1850147,23.16,23.69,22.56,23.33,69,1006,1006
1880252,32.88,33.95,31.92,37.23,54,1007,1007
2063523,17.98,18.93,17.22,18.26,93,1007,1007
2147714,14.23,15.2,12.72,13.93,85,1014,1014
2193733,11.81,12.51,10.97,10.87,70,1021,1021
2332459,26.13,26.13,26.13,26.13,94,1015,1015
2553604,20.19,21.12,20.18,19.94,64,1018,1018
2618425,17.42,17.86,16.94,16.99,68,1011,1011
2643743,16.29,17.22,15.06,15.54,60,1018,1018
2657896,18.59,19.47,17.14,18.7,84,1018,1018
2673730,16.8,17.25,16.21,15.95,54,1003,1003
2759794,16.55,17.72,15.45,16.04,68,1015,1015
2761369,23.61,24.33,22.58,23.8,68,1016,1016
2800866,16.31,17.66,15.29,15.98,76,1017,1017
2950159,19.77,21.85,18.93,19.5,65,1015,1015
2964574,13.3,13.82,11.99,12.57,72,1018,1018
2988507,17.35,19.77,16.75,16.79,63,1019,1019
3054643,26.49,27.68,26.12,26.49,51,1016,1016
3067696,19.59,21.83,18.25,19.8,84,1016,1016
3117735,21.75,22.9,20.71,21.42,55,1015,1015
3143244,14.75,14.75,14.75,14.06,68,1000,1000
3169070,25.97,26.55,24.85,25.97,45,1021,1021
3369157,14.06,14.77,13.23,13.85,89,1021,1021
3413829,5.81,5.81,5.5,1.49,75,993,993
3435910,7.97,8.85,6.63,5.08,84,1021,1021
3448433,15.77,15.77,15.77,15.78,91,1022,1022
3530597,15.53,16.73,15.53,15.28,82,1016,1016
3871336,13.39,13.39,12.87,12.12,51,1017,1017
3936456,16.61,16.61,15.14,16.68,90,1015,1015
4887398,12.03,12.24,10.68,10.67,53,1016,1016
5128581,12.45,13.36,9.42,11.68,74,1014,1014
5368361,16.19,18.22,14.45,16.11,86,1013,1013
5856195,24.48,25.17,23.49,25.1,81,1018,1018
6167865,7.01,8.47,4.97,4.86,69,1014,1014
6173331,11.36,12.58,10.16,10.64,80,1024,1024
