City_ID,Cloudiness_Percentage,Wind_Direction_Degree,Gust_Speed,Wind_Speed
98182,0,310,,6.17
108410,39,349,0.29,0.38
112931,1,114,3.9,1.1
184745,91,69,5.85,3.1
264371,0,45,2.24,1.34
292223,0,190,,3.09
293397,40,220,,2.06
360630,0,350,,3.09
524901,100,245,8.04,3.93
658225,100,228,7.6,6.71
745044,0,70,,2.06
756135,0,240,,3.6
1275339,75,250,8.75,3.6
1581130,99,122,6.21,2.6
1609350,100,257,5.78,2.28
1642911,20,300,,1.54
1668341,20,320,,1.54
1701668,20,0,,0.51
1735161,20,0,,0.0
1816670,90,88,4.59,2.85
1835848,100,350,,2.06
1850147,75,20,,2.57
1880252,75,150,,4.12
2063523,0,40,,3.09
2147714,0,320,,9.77
2193733,46,24,3.13,1.79
2332459,20,0,,1.03
2553604,0,20,,1.79
2618425,100,250,,4.63
2643743,12,240,,5.14
2657896,5,140,,1.54
2673730,100,300,,5.14
2759794,20,230,,6.17
2761369,0,260,,2.06
2800866,20,240,,5.14
2950159,75,240,,3.6
2964574,75,250,,2.06
2988507,0,340,,1.54
3054643,5,234,1.34,0.89
3067696,0,240,,1.54
3117735,20,280,,2.57
3143244,86,339,3.24,1.8
3169070,0,0,,1.03
3369157,75,30,,10.8
3413829,100,150,,1.54
3435910,0,330,,3.6
3448433,0,175,1.04,1.09
3530597,100,0,,0.0
3871336,0,200,,5.14
3936456,0,170,,4.63
4887398,75,60,,5.14
5128581,0,296,9.39,7.15
5368361,20,240,,6.17
5856195,40,50,12.86,6.17
6167865,23,325,4.92,1.79
6173331,100,280,,1.54
