City_ID,Temp,Temp_Max,Temp_Min,Feels_Like,Humidity,Pressure,Sea_Level
98182,26.95,26.95,26.95,26.35,29,1003,1003
108410,32.31,32.31,32.31,30.08,7,1006,1006
112931,21.51,21.99,21.51,20.68,37,1015,1015
184745,14.62,14.62,14.62,14.75,100,1020,1020
264371,22.94,25.21,22.27,22.93,63,1012,1012
292223,33.96,33.96,32.14,32.75,27,1003,1003
293397,23.05,23.45,22.84,23.58,83,1007,1007
360630,24.42,24.42,24.12,24.72,69,1009,1009
524901,12.96,12.97,11.24,12.03,66,1018,1018
658225,11.11,11.7,9.99,10.7,93,1011,1011
745044,19.89,20.04,19.89,19.95,77,1014,1014
756135,13.46,14.28,12.76,13.32,94,1010,1010
1275339,30.99,30.99,30.94,36.41,66,1007,1007
1581130,30.0,30.0,30.0,33.45,63,1005,1005
1609350,29.94,30.94,29.94,33.97,66,1007,1007
1642911,31.64,32.17,30.16,37.73,65,1010,1010
1668341,34.18,34.39,32.25,41.18,60,1005,1005
1701668,28.48,29.45,27.81,34.69,87,1006,1006
1735161,31.25,31.75,31.25,38.25,75,1008,1008
1816670,29.94,29.94,29.94,28.19,20,1008,1008
1835848,26.76,27.78,26.76,26.88,44,1012,1012
1850147,21.44,22.01,20.37,22.07,93,1008,1008
1880252,30.28,30.97,29.92,34.5,65,1008,1008
2063523,17.49,18.35,16.0,16.81,58,1023,1023
2147714,17.03,18.17,15.22,15.99,46,1011,1011
2193733,18.73,19.51,18.0,18.67,77,1005,1005
2332459,27.13,27.13,27.13,31.0,89,1010,1010
2553604,19.12,19.12,19.12,19.18,80,1017,1017
2618425,11.84,11.94,11.19,11.46,91,1012,1012
2643743,13.17,14.45,11.12,12.79,86,1020,1020
2657896,12.95,14.32,11.09,12.57,87,1021,1021
2673730,11.7,11.86,11.21,11.25,89,1007,1007
2759794,8.77,10.49,7.69,8.77,87,1022,1022
2761369,18.57,19.05,16.01,18.34,71,1017,1017
2800866,8.63,9.73,7.67,8.04,94,1022,1022
2950159,12.46,12.97,11.72,11.93,83,1016,1016
2964574,9.83,10.53,8.36,9.83,94,1017,1017
2988507,13.81,14.88,12.81,13.62,91,1021,1021
3054643,17.2,17.93,14.36,16.41,55,1015,1015
3067696,13.29,13.51,12.34,12.69,77,1018,1018
3117735,20.77,21.68,19.56,20.7,69,1015,1015
3143244,7.53,7.53,7.53,6.99,91,1011,1011
3169070,19.04,20.07,17.12,18.62,62,1015,1015
3369157,11.78,13.28,9.38,11.1,80,1029,1029
3413829,6.81,6.81,6.81,4.3,53,1010,1010
3435910,11.33,11.85,8.84,10.82,88,1025,1025
3448433,14.37,14.37,14.37,14.0,82,1019,1019
3530597,20.53,20.96,20.53,20.1,56,1013,1013
3871336,15.78,16.79,14.54,14.69,49,1014,1014
3936456,18.28,18.28,18.14,18.38,85,1016,1016
4887398,20.46,21.77,17.88,20.26,65,1015,1015
5128581,20.65,21.86,18.54,20.99,85,1014,1014
5368361,18.57,21.59,16.12,18.6,81,1013,1013
5856195,28.15,28.9,26.84,29.91,62,1019,1019
6167865,16.78,17.36,16.06,16.55,78,1013,1013
6173331,19.78,20.81,17.9,19.46,63,1011,1011
