City_ID,Sunrise,Sunset,Timezone
98182,1748483703,1748534694,10800
108410,1748484281,1748533002,10800
112931,1748481666,1748533361,12600
184745,1748489326,1748532711,10800
264371,1748487947,1748540380,10800
292223,1748482153,1748531010,14400
293397,1748486191,1748536824,10800
360630,1748487315,1748537395,10800
524901,1748480203,1748541451,10800
658225,1748481156,1748546584,10800
745044,1748486160,1748539654,10800
756135,1748485411,1748544214,7200
1275339,1748478658,1748526083,19800
1581130,1748470518,1748518385,25200
1609350,1748472573,1748518886,25200
1642911,1748472988,1748515433,25200
1668341,1748466286,1748515085,28800
1701668,1748467574,1748514061,28800
1735161,1748473335,1748517562,28800
1816670,1748465380,1748518455,28800
1835848,1748463240,1748515517,32400
1850147,1748460488,1748512165,32400
1880252,1748472992,1748516866,28800
2063523,1748473621,1748510485,28800
2147714,1748465390,1748501734,36000
2193733,1748460167,1748495648,43200
2332459,1748496607,1748541474,3600
2553604,1748496148,1748547221,3600
2618425,1748486240,1748547439,7200
2643743,1748490699,1748549072,3600
2657896,1748489723,1748545884,7200
2673730,1748483265,1748547774,7200
2759794,1748489232,1748548131,7200
2761369,1748487641,1748544211,7200
2800866,1748489818,1748547805,7200
2950159,1748487141,1748546132,7200
2964574,1748491595,1748551124,3600
2988507,1748490841,1748547743,7200
3054643,1748487175,1748543396,7200
3067696,1748487617,1748545172,7200
3117735,1748494103,1748547386,7200
3143244,1748484704,1748549848,7200
3169070,1748489946,1748543773,7200
3369157,1748497280,1748533587,7200
3413829,1748489416,1748560806,0
3435910,1748429379,1748465540,-10800
3448433,1748425574,1748464843,-10800
3530597,1748433491,1748480990,-21600
3871336,1748432165,1748468645,-14400
3936456,1748431275,1748472597,-18000
4887398,1748427611,1748481360,-18000
5128581,1748424548,1748477874,-14400
5368361,1748436246,1748487411,-25200
5856195,1748447376,1748495298,-36000
6167865,1748425274,1748479745,-14400
6173331,1748434482,1748491515,-25200
