City_ID,Cloudiness_Percentage,Wind_Direction_Degree,Gust_Speed,Wind_Speed
98182,0,350,,3.09
108410,0,132,1.59,0.98
112931,40,270,,4.92
184745,75,180,,3.6
264371,39,241,1.34,0.89
292223,53,150,,2.57
293397,20,180,,3.09
360630,0,0,,0.0
524901,0,131,9.75,2.88
658225,0,70,5.36,4.92
745044,20,0,,1.03
756135,75,290,,3.6
1275339,75,130,,1.54
1581130,96,135,4.19,2.89
1609350,100,209,2.96,1.85
1642911,20,240,,1.54
1668341,75,300,,2.57
1701668,40,280,,2.57
1735161,66,98,0.69,0.51
1816670,100,118,1.39,0.75
1835848,0,220,,1.03
1850147,100,90,,3.09
1880252,75,170,,3.6
2063523,100,60,,5.66
2147714,75,200,,7.72
2193733,75,341,11.62,8.05
2332459,100,221,5.3,4.17
2553604,82,40,,2.68
2618425,0,290,,3.6
2643743,100,261,3.13,1.79
2657896,75,252,3.58,3.13
2673730,100,180,,1.54
2759794,100,230,,2.06
2761369,0,329,18.33,10.28
2800866,20,200,,2.06
2950159,100,303,8.05,5.36
2964574,75,160,,3.6
2988507,0,300,,2.06
3054643,20,310,,7.72
3067696,40,208,6.71,6.26
3117735,0,30,,4.63
3143244,0,294,1.32,1.43
3169070,97,200,,1.54
3369157,100,320,,9.77
3413829,100,183,2.95,2.39
3435910,0,220,0.0,8.05
3448433,100,247,10.37,6.27
3530597,100,330,,5.14
3871336,100,113,1.04,0.62
3936456,100,160,,3.6
4887398,75,30,,3.6
5128581,100,40,,6.17
5368361,100,210,,3.6
5856195,20,80,8.23,5.66
6167865,100,70,0.0,6.71
6173331,6,347,5.81,1.79
