City_ID,Sunrise,Sunset,Timezone
98182,1749606748,1749658308,10800
108410,1749607415,1749656527,10800
112931,1749604682,1749657004,12600
184745,1749612663,1749656034,10800
264371,1749610934,1749664052,10800
292223,1749605281,1749654540,14400
293397,1749609251,1749660423,10800
360630,1749610397,1749660973,10800
524901,1749602751,1749665563,10800
658225,1749603402,1749670999,10800
745044,1749609103,1749663371,10800
756135,1749608101,1749668183,7200
1275339,1749601841,1749649559,19800
1581130,1749593683,1749641878,25200
1609350,1749595798,1749642319,25200
1642911,1749596360,1749638719,25200
1668341,1749589414,1749638615,28800
1701668,1749590791,1749637501,28800
1735161,1749596639,1749640916,28800
1816670,1749588334,1749642160,28800
1835848,1749586226,1749639188,32400
1850147,1749583499,1749635812,32400
1880252,1749596310,1749640207,28800
2063523,1749597214,1749633551,28800
2147714,1749589006,1749624777,36000
2193733,1749583820,1749618652,43200
2332459,1749619889,1749664853,3600
2553604,1749619193,1749670836,3600
2618425,1749608794,1749671545,7200
2643743,1749613415,1749673017,3600
2657896,1749612547,1749669720,7200
2673730,1749605588,1749672111,7200
2759794,1749611920,1749672104,7200
2761369,1749610445,1749668067,7200
2800866,1749612554,1749671730,7200
2950159,1749609823,1749670111,7200
2964574,1749614250,1749675130,3600
2988507,1749613630,1749671614,7200
3054643,1749609996,1749667236,7200
3067696,1749610373,1749669076,7200
3117735,1749617057,1749671092,7200
3143244,1749606976,1749674236,7200
3169070,1749612875,1749667504,7200
3369157,1749620892,1749656635,7200
3413829,1749610918,1749685964,0
3435910,1749639434,1749674962,-10800
3448433,1749635493,1749674402,-10800
3530597,1749556664,1749604472,-21600
3871336,1749555780,1749591684,-14400
3936456,1749554691,1749595836,-18000
4887398,1749550522,1749605104,-18000
5128581,1749547477,1749601599,-14400
5368361,1749559272,1749611041,-25200
5856195,1749570536,1749618795,-36000
6167865,1749548151,1749603522,-14400
6173331,1749557240,1749615414,-25200
