City_ID,Temp,Temp_Max,Temp_Min,Feels_Like,Humidity,Pressure,Sea_Level
98182,26.95,26.95,26.95,26.35,29,1003,1003
108410,32.31,32.31,32.31,30.08,7,1006,1006
112931,21.51,21.99,21.51,20.63,35,1015,1015
184745,15.93,15.93,14.62,15.72,82,1020,1020
264371,22.94,25.21,22.27,22.93,63,1012,1012
292223,33.96,33.96,32.14,32.75,27,1004,1004
293397,23.87,24.1,22.84,24.3,76,1007,1007
360630,23.42,23.42,23.01,23.85,78,1009,1009
524901,13.04,14.1,11.29,12.12,66,1018,1018
658225,11.14,11.7,10.49,10.74,93,1011,1011
745044,19.89,20.04,19.89,19.95,77,1014,1014
756135,13.72,14.8,13.13,13.63,95,1010,1010
1275339,30.99,30.99,30.94,36.41,66,1007,1007
1581130,30.0,30.0,30.0,33.24,62,1005,1005
1609350,29.94,30.94,29.94,34.2,67,1007,1007
1642911,31.89,32.17,30.16,37.73,63,1009,1009
1668341,34.64,34.93,32.81,41.64,57,1005,1005
1701668,28.45,28.95,27.81,34.39,86,1006,1006
1735161,31.25,31.75,31.25,37.65,68,1008,1008
1816670,30.94,30.94,30.94,29.07,21,1008,1008
1835848,26.76,27.78,26.76,26.88,44,1012,1012
1850147,21.45,22.31,20.37,22.05,92,1008,1008
1880252,30.36,30.97,29.92,34.67,65,1008,1008
2063523,17.86,18.37,16.58,17.19,57,1023,1023
2147714,17.06,18.17,16.05,16.0,45,1011,1011
2193733,18.67,19.28,18.08,18.6,77,1005,1005
2332459,27.13,27.13,27.13,31.0,89,1010,1010
2553604,19.12,19.12,19.12,19.18,80,1017,1017
2618425,11.84,11.94,11.19,11.43,90,1013,1013
2643743,13.17,14.28,11.12,12.81,87,1020,1020
2657896,11.26,13.49,10.97,10.87,93,1022,1022
2673730,11.7,11.86,11.21,11.25,89,1007,1007
2759794,8.88,10.49,7.21,8.88,87,1022,1022
2761369,18.4,18.87,16.57,18.2,73,1017,1017
2800866,8.79,10.14,7.68,8.23,94,1022,1022
2950159,12.6,13.23,11.72,12.06,82,1016,1016
2964574,10.19,11.6,8.36,9.69,93,1018,1018
2988507,13.05,13.45,12.81,12.84,93,1020,1020
3054643,17.26,17.93,14.91,16.48,55,1015,1015
3067696,13.02,13.26,12.89,12.39,77,1019,1019
3117735,21.09,22.34,19.56,20.98,66,1015,1015
3143244,8.64,8.64,8.64,8.25,87,1011,1011
3169070,19.19,20.07,17.12,18.81,63,1015,1015
3369157,12.12,13.28,10.15,11.5,81,1029,1029
3413829,6.81,6.81,6.81,4.3,53,1010,1010
3435910,11.33,11.85,8.84,10.82,88,1025,1025
3448433,14.37,14.37,14.37,14.0,82,1019,1019
3530597,20.53,20.96,20.53,20.1,56,1013,1013
3871336,15.26,16.23,10.61,14.23,53,1014,1014
3936456,18.28,18.28,18.14,18.38,85,1016,1016
4887398,20.55,21.69,17.88,20.33,64,1015,1015
5128581,20.69,21.86,18.42,21.03,85,1014,1014
5368361,18.38,21.48,16.12,18.39,81,1013,1013
5856195,28.09,28.9,26.61,29.82,62,1019,1019
6167865,16.38,16.77,15.83,16.14,79,1013,1013
6173331,18.8,19.61,17.9,18.49,67,1011,1011
