City_ID,Temp,Temp_Max,Temp_Min,Feels_Like,Humidity,Pressure,Sea_Level
98182,34.95,34.95,34.95,32.27,9,1000,1000
108410,31.6,31.6,31.6,29.47,8,1003,1003
112931,30.63,30.63,30.63,28.73,19,1003,1003
184745,14.62,14.62,14.62,13.89,67,1019,1019
264371,27.0,28.14,25.05,27.07,44,1012,1012
292223,31.96,32.14,31.96,35.56,55,994,994
293397,25.09,25.62,23.45,25.72,79,1008,1008
360630,28.42,28.42,28.01,29.72,57,1010,1010
524901,15.52,15.93,14.29,14.96,70,1002,1002
658225,11.56,12.21,11.09,11.25,95,985,985
745044,24.89,25.04,24.89,24.43,38,1013,1013
756135,16.98,18.21,15.38,16.09,52,1008,1008
1275339,27.99,27.99,27.99,32.54,83,1001,1001
1581130,27.0,27.0,27.0,30.84,91,1006,1006
1609350,28.94,28.94,28.94,33.16,73,1007,1007
1642911,25.66,26.16,24.94,26.53,86,1009,1009
1668341,27.42,29.07,26.62,29.09,65,1007,1007
1701668,26.33,27.0,25.59,26.33,90,1010,1010
1735161,26.56,26.75,26.4,26.56,88,1009,1009
1816670,21.94,21.94,21.94,21.97,68,1007,1007
1835848,19.76,19.78,19.76,20.4,100,1006,1006
1850147,25.89,26.99,24.79,26.75,85,1014,1014
1880252,28.25,28.97,27.72,32.73,80,1009,1009
2063523,8.05,8.35,6.67,5.82,80,1029,1029
2147714,12.28,12.61,11.3,11.0,55,1008,1008
2193733,11.51,12.62,8.56,10.67,75,1032,1032
2332459,25.13,25.13,25.13,26.15,94,1012,1012
2553604,22.96,22.96,21.12,22.88,60,1018,1018
2618425,13.96,14.19,13.94,13.97,98,1003,1003
2643743,20.02,21.11,18.36,20.19,81,1012,1012
2657896,21.05,21.4,19.25,21.12,73,1018,1018
2673730,13.5,13.86,12.88,13.28,91,991,991
2759794,18.8,19.99,18.25,18.62,72,1010,1010
2761369,22.67,23.87,21.19,22.56,60,1013,1013
2800866,20.56,21.54,19.58,20.63,75,1013,1013
2950159,18.89,20.18,17.79,18.58,67,1008,1008
2964574,17.48,17.92,16.53,17.35,79,1009,1009
2988507,23.64,24.52,21.7,23.31,48,1014,1014
3054643,24.02,24.6,22.69,24.02,59,1014,1014
3067696,21.41,22.17,20.11,20.96,52,1013,1013
3117735,24.33,26.59,23.53,24.28,56,1012,1012
3143244,13.64,13.64,13.47,13.41,90,995,995
3169070,24.74,26.01,23.86,24.47,46,1017,1017
3369157,13.76,14.38,12.97,13.28,80,1009,1009
3413829,9.81,10.5,9.81,9.81,93,1001,1001
3435910,12.42,12.91,11.02,10.74,39,1011,1011
3448433,11.95,11.95,11.95,10.04,32,1020,1020
3530597,14.96,14.96,14.96,14.52,77,1016,1016
3871336,16.7,17.9,15.03,15.47,40,1012,1012
3936456,20.14,20.14,20.14,20.12,73,1013,1013
4887398,31.56,33.38,30.04,36.35,61,1020,1020
5128581,38.18,38.98,36.64,40.86,33,1016,1016
5368361,22.7,26.29,19.65,22.72,65,1015,1015
5856195,27.55,28.27,26.82,29.5,67,1019,1019
6167865,33.95,34.66,32.83,38.62,51,1017,1017
6173331,23.52,25.16,21.58,23.34,54,1013,1013
