City_ID,Cloudiness_Percentage,Wind_Direction_Degree,Gust_Speed,Wind_Speed
98182,0,300,,6.69
108410,50,28,1.15,0.98
112931,1,353,3.57,2.4
184745,75,260,,2.06
264371,0,40,2.24,1.34
292223,0,190,,4.12
293397,40,250,,2.57
360630,0,350,,3.09
524901,100,238,8.74,4.33
658225,100,228,7.15,6.26
745044,0,100,,3.09
756135,0,230,,3.09
1275339,75,240,,5.14
1581130,99,131,7.92,3.11
1609350,100,245,5.53,2.35
1642911,20,220,,1.54
1668341,20,200,,1.54
1701668,40,0,,0.51
1735161,20,0,,0.0
1816670,87,85,3.75,2.4
1835848,100,30,,1.54
1850147,75,50,,3.09
1880252,75,150,,4.63
2063523,0,50,,3.6
2147714,0,318,2.24,0.89
2193733,50,88,3.58,1.34
2332459,20,210,,2.06
2553604,0,20,,1.79
2618425,100,250,,4.12
2643743,16,230,,4.63
2657896,6,0,,0.51
2673730,100,300,,4.12
2759794,20,220,,7.2
2761369,8,355,1.34,0.45
2800866,40,250,,4.12
2950159,75,238,6.26,4.92
2964574,75,260,,5.14
2988507,0,0,,1.03
3054643,5,296,1.34,0.89
3067696,0,320,,3.6
3117735,20,360,,1.54
3143244,87,343,3.8,1.88
3169070,0,210,,2.06
3369157,75,40,,8.75
3413829,100,0,,0.51
3435910,0,320,,3.6
3448433,0,209,1.13,1.15
3530597,100,70,,2.06
3871336,0,250,,2.57
3936456,0,180,,5.14
4887398,75,100,,5.66
5128581,20,290,8.75,6.17
5368361,40,250,,5.14
5856195,75,70,10.8,7.2
6167865,20,280,0.0,9.39
6173331,100,230,,2.06
