ID,CITY,COUNTRY,SUNRISE,SUNSET,DAYLIGHT_HOURS,TIMEZONE,RANK
3413829,Reykjavik,IS,21:35:47,17:14:04,19.64,0,1
658225,Helsinki,FI,22:16:05,16:19:05,18.05,10800,2
3143244,Oslo,NO,22:15:08,16:13:34,17.97,7200,3
2673730,Stockholm,SE,21:51:00,15:39:09,17.8,7200,4
524901,Moscow,RU,21:59:13,14:54:30,16.92,10800,5
2618425,Copenhagen,DK,22:39:49,15:34:20,16.91,7200,6
2964574,Dublin,IE,23:08:44,15:36:05,16.46,3600,7
2950159,Berlin,DE,22:54:25,15:12:58,16.31,7200,8
2759794,Amsterdam,NL,23:29:14,15:46:19,16.28,7200,9
756135,Warsaw,PL,22:25:32,14:41:02,16.26,7200,10
