City_ID,Temp,Temp_Max,Temp_Min,Feels_Like,Humidity,Pressure,Sea_Level
98182,29.95,29.95,29.95,28.57,28,1006,1006
108410,36.48,36.48,36.48,33.57,8,1005,1005
112931,27.62,27.99,27.62,26.42,17,1014,1014
184745,16.62,16.62,16.62,16.48,82,1022,1022
264371,22.81,24.3,21.87,22.61,56,1010,1010
292223,40.96,41.14,40.96,38.9,14,1000,1000
293397,22.94,23.45,21.73,22.93,63,1014,1014
360630,25.42,25.42,25.23,25.01,38,1013,1013
524901,23.52,23.52,23.24,22.61,26,1016,1016
658225,15.02,16.21,14.31,14.61,78,1008,1008
745044,20.07,21.04,19.93,19.59,56,1011,1011
756135,13.95,15.36,12.69,13.86,94,1007,1007
1275339,30.99,30.99,30.94,37.99,74,1002,1002
1581130,29.0,29.0,29.0,34.31,78,1007,1007
1609350,33.27,33.27,30.94,38.77,56,1007,1007
1642911,34.4,36.28,31.61,41.4,61,1008,1008
1668341,22.26,24.07,21.14,22.71,83,1009,1009
1701668,31.74,32.84,31.18,38.74,72,1010,1010
1735161,32.14,32.36,28.62,39.14,72,1010,1010
1816670,31.94,31.94,31.94,30.64,29,1010,1010
1835848,25.76,26.78,25.76,25.78,53,1014,1014
1850147,22.34,23.7,21.48,22.17,59,1016,1016
1880252,24.97,24.97,24.92,25.74,85,1011,1011
2063523,22.81,23.07,21.86,22.37,47,1015,1015
2147714,16.82,17.62,16.24,16.39,70,1019,1019
2193733,14.83,16.28,14.19,14.3,74,988,988
2332459,25.13,25.13,25.13,26.31,100,1014,1014
2553604,29.19,29.19,27.12,27.92,28,1017,1017
2618425,12.13,12.3,11.19,11.44,78,1017,1017
2643743,14.05,15.28,13.06,13.78,87,1019,1019
2657896,13.57,14.72,12.96,13.41,93,1025,1025
2673730,12.76,13.47,12.28,12.08,76,1009,1009
2759794,12.5,13.27,11.58,12.05,86,1020,1020
2761369,13.59,14.38,12.56,13.2,84,1018,1018
2800866,13.08,13.76,12.68,12.82,91,1022,1022
2950159,12.04,14.08,11.1,11.52,85,1020,1020
2964574,16.63,17.0,16.04,16.65,88,1010,1010
2988507,14.09,14.65,12.81,13.72,83,1025,1025
3054643,15.96,16.58,15.6,15.49,72,1012,1012
3067696,13.19,13.67,12.64,12.65,80,1020,1020
3117735,20.32,21.79,18.68,19.87,56,1023,1023
3143244,14.2,14.2,14.2,13.24,60,1012,1012
3169070,20.21,21.18,18.79,20.27,76,1015,1015
3369157,14.39,15.49,13.66,14.23,90,1022,1022
3413829,5.81,5.81,5.5,4.25,75,1002,1002
3435910,7.41,8.24,3.94,3.29,68,1025,1025
3448433,12.64,12.64,12.64,12.18,85,1021,1021
3530597,14.97,16.17,14.96,14.79,87,1021,1021
3871336,13.94,13.94,12.87,12.8,54,1017,1017
3936456,17.72,17.72,16.14,17.77,85,1014,1014
4887398,12.87,13.38,11.69,12.54,89,1018,1018
5128581,13.45,14.43,12.27,13.33,95,1019,1019
5368361,16.43,17.58,15.56,16.24,81,1015,1015
5856195,24.76,25.9,23.27,25.04,67,1019,1019
6167865,11.75,12.95,10.4,11.46,95,1016,1016
6173331,17.23,18.03,16.23,16.76,67,1011,1011
