CITY_ID,CITY,COUNTRY,TEMP,FEELS_LIKE,DIFFERENCE,RANK
1735161,Kuala Lumpur,MY,31.25,38.25,7.0,1
1668341,Taipei,TW,34.18,41.18,7.0,1
1701668,Manila,PH,28.48,34.69,6.21,3
1642911,Jakarta,ID,31.64,37.73,6.09,4
1275339,Mumbai,IN,30.99,36.41,5.42,5
1880252,Singapore,SG,30.28,34.5,4.22,6
1609350,Bangkok,TH,29.94,33.97,4.03,7
2332459,Lagos,NG,27.13,31.0,3.87,8
1581130,Hanoi,VN,30.0,33.45,3.45,9
3413829,Reykjavik,IS,6.81,4.3,2.51,10
