CITY_ID,CITY,COUNTRY,TEMP,FEELS_LIKE,DIFFERENCE,RANK
1880252,Singapore,SG,28.82,34.24,5.42,1
1275339,Mumbai,IN,27.99,32.54,4.55,2
6167865,Toronto,CA,34.0,38.06,4.06,3
1581130,Hanoi,VN,27.0,30.95,3.95,4
4887398,Chicago,US,31.06,34.97,3.91,5
292223,Dubai,AE,31.96,35.56,3.6,6
1609350,Bangkok,TH,27.94,31.36,3.42,7
98182,Baghdad,IQ,34.95,32.27,2.68,8
5128581,New York,US,37.83,40.19,2.36,9
2063523,Perth,AU,7.67,5.66,2.01,10
